Run,BioSample,SampleName,LibraryName,LibraryStrategy,LibrarySource,LibraryLayout,Platform,Model,spots,bases,avgLength,size_MB,download_path
SRR19606924,SAMN28950059,HTP_2_28_2021_amplicon,HTP_2_28_2021_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,8730063,2636479026,302,826,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19606/SRR19606924/SRR19606924.lite.1
SRR19606906,SAMN28950067,HTP_3_16_21_enriched,HTP_3_16_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,4910795,991980590,202,287,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19606/SRR19606906/SRR19606906.lite.1
SRR19606908,SAMN28950066,HTP_3_14_21_enriched,HTP_3_14_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,4567306,922595812,202,271,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19606/SRR19606908/SRR19606908.lite.1
SRR19606912,SAMN28950065,HTP_3_11_21_enriched,HTP_3_11_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,4375344,883819488,202,258,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19606/SRR19606912/SRR19606912.lite.1
SRR19606914,SAMN28950064,HTP_3_11_2021_amplicon,HTP_3_11_2021_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,10839715,3273593930,302,1043,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19606/SRR19606914/SRR19606914.lite.1
SRR19606896,SAMN28950072,HTP_3_23_2021_amplicon,HTP_3_23_2021_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,12603263,3806185426,302,1233,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19606/SRR19606896/SRR19606896.lite.1
SRR19606898,SAMN28950071,HTP_3_21_2021_enriched,HTP_3_21_2021_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,1151932,232690264,202,71,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19606/SRR19606898/SRR19606898.lite.1
SRR19606900,SAMN28950070,HTP_3_2_21_enriched,HTP_3_2_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,1975323,399015246,202,116,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR019/19606/SRR19606900/SRR19606900.lite.1
SRR19606902,SAMN28950069,HTP_3_18_2021_enriched,HTP_3_18_2021_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,2765842,558700084,202,167,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19606/SRR19606902/SRR19606902.lite.1
SRR19606904,SAMN28950068,HTP_3_18_2021_amplicon,HTP_3_18_2021_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,12132419,3663990538,302,1145,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19606/SRR19606904/SRR19606904.lite.1
